class,support,precision,recall,f1,false_positives,false_negatives
G,3,0.6667,0.6667,0.6667,1,1
U,7,1.0,0.5714,0.7273,0,3
L,3,0.6,1.0,0.75,2,0
F,5,0.8,0.8,0.8,1,1
E,6,1.0,0.6667,0.8,0,2
O,7,0.7,1.0,0.8235,3,0
Y,8,1.0,0.75,0.8571,0,2
A,6,0.75,1.0,0.8571,2,0
Z,8,0.875,0.875,0.875,1,1
W,5,0.8333,1.0,0.9091,1,0
K,5,0.8333,1.0,0.9091,1,0
M,6,1.0,0.8333,0.9091,0,1
P,13,1.0,0.8462,0.9167,0,2
I,8,1.0,0.875,0.9333,0,1
Space,15,0.9333,0.9333,0.9333,1,1
R,8,1.0,0.875,0.9333,0,1
X,8,0.8889,1.0,0.9412,1,0
Q,19,1.0,0.8947,0.9444,0,2
T,10,0.9091,1.0,0.9524,1,0
S,14,0.9333,1.0,0.9655,1,0
Delete,17,0.9444,1.0,0.9714,1,0
Clear,22,0.9565,1.0,0.9778,1,0
D,13,1.0,1.0,1.0,0,0
C,12,1.0,1.0,1.0,0,0
N,8,1.0,1.0,1.0,0,0
J,12,1.0,1.0,1.0,0,0
B,11,1.0,1.0,1.0,0,0
H,6,1.0,1.0,1.0,0,0
V,14,1.0,1.0,1.0,0,0
